window_index,label,start_time,acc_total_power,acc_dominant_frequency,acc_spectral_entropy,acc_postural_power,acc_movement_power,acc_movement_ratio,eda_total_power,eda_dominant_frequency,eda_spectral_entropy,eda_tonic_power,eda_sympathetic_low_power,eda_sympathetic_high_power,eda_sympathetic_ratio,temp_total_power,temp_dominant_frequency,temp_spectral_entropy,hr_total_power,hr_dominant_frequency,hr_spectral_entropy,hr_lf_power,hr_hf_power,hr_lf_hf_ratio,spo2_total_power,spo2_dominant_frequency,spo2_spectral_entropy,subject_id
0,Relax,0.0,0.0012039909473253963,0.5,2.8299282130056644,0.0008811858906073734,0.00035990942467337367,0.40843757090266114,3.1154506675512416e-07,0.016666666666666666,3.3409808813645694,7.731341155857817e-08,2.3762893507868962e-08,5.063195780709571e-08,2.1307151753354105,0.007279188685024645,0.0625,1.8420244110865167,0.09112438030057934,0.016666666666666666,1.384306902622635,0.020175719879284015,0.000697921444676924,28.908296246182253,0.4298328461861041,0.06666666666666667,2.4585274504357133,1
1,Relax,30.0,0.006642297924781613,0.5,2.4698862545221774,0.0062606145454572205,0.0014727115446244881,0.2352343422409076,2.6255952840540904e-06,0.016666666666666666,1.9003881787398904,1.826989629126241e-06,1.733269390914156e-07,9.99264731928455e-08,0.5765201515509517,0.004134210436885659,0.0625,2.011908838225618,0.051704709541609634,0.016666666666666666,1.6746797365516546,0.02547116686986118,0.0005683157133537542,44.818691919585156,0.5453190474037812,0.016666666666666666,2.3410802549549263,1
2,Relax,60.0,0.042197264980880674,0.5,1.2541497402835398,0.045610569485785214,0.0015467752412166064,0.03391264916564279,1.089305365049888e-06,0.016666666666666666,3.279461224990261,3.1879623877651595e-07,1.7719805071535648e-07,2.1116957642011553e-08,0.11917150079677202,0.003364580031766367,0.0625,1.8788702014492247,0.03435724902255792,0.016666666666666666,1.27304484734073,0.009139275877964929,0.0005741111230941648,15.919001584064272,0.6250425375855574,0.016666666666666666,1.4007576258488321,1
3,Relax,90.0,8.601560911204598e-05,1.9375,4.070636605230581,8.993917931981623e-06,7.701687212021102e-05,8.563217132140537,6.427974800696631e-07,0.016666666666666666,3.465762114666028,1.3884418305148652e-07,6.308164340732656e-08,5.198984295904276e-08,0.8241675414722065,0.0025081915332622355,0.0625,2.428713670555343,0.116724745359295,0.016666666666666666,1.1222698053795037,0.012236199088722973,0.0006419411897676601,19.061246238384644,0.06396740939192322,0.016666666666666666,1.0493399738538929,1
4,Relax,120.0,5.836151702386382e-05,0.75,4.060303615815503,4.93735620631414e-06,5.3524791418666514e-05,10.840779798349633,2.941200341319068e-08,0.016666666666666666,3.7888391638043832,2.794465598779115e-09,3.768994991211847e-09,2.983402772722674e-09,0.7915645363496275,0.002137108087474222,0.0625,2.4698085522332685,0.008919500712052787,0.03333333333333333,1.6381103118638785,0.002836674552320113,0.00046999559756359004,6.035534305055513,0.2540875015318317,0.03333333333333333,2.264590591849683,1
5,Relax,150.0,5.76263694449741e-05,2.8125,4.084176248127928,7.189575822168239e-06,5.0390147905881645e-05,7.008778981161775,9.548824607650327e-09,0.18333333333333332,4.1363144680338735,3.2254573288000843e-10,1.0747127557324046e-09,1.0713314655052447e-09,0.9968537730578478,0.004513115828403358,0.0625,2.5747745654557646,0.04862776365082466,0.016666666666666666,0.8370652331021856,0.004670099790967293,0.0006300908423488812,7.411788074173374,0.36036402736183454,0.016666666666666666,1.4234595214551666,1
6,Relax,180.0,0.00499300343421437,0.5,2.732449764366473,0.004293879231428308,0.0010138547352579593,0.23611626704291647,1.7142833792902125e-08,0.016666666666666666,3.368749352983744,5.542913750411899e-09,1.0934340575531041e-09,1.992270407037325e-09,1.8220306869676663,0.004116804145884152,0.0625,2.491684971406605,0.03888730667931448,0.016666666666666666,1.090797156027241,0.0027653453150428818,0.000414424706088241,6.672732765247044,0.05043566791501209,0.016666666666666666,1.2605323767563439,1
7,Relax,210.0,0.00280457803851779,1.25,2.9060994307623984,0.002250704578654552,0.0008163062506555626,0.3626892033709471,8.029405311525674e-07,0.016666666666666666,3.775419393103648,7.164358516058345e-08,1.1135272024584436e-07,1.513881827386889e-07,1.3595373548527085,0.0023086189049338606,0.0625,2.5501523003682096,0.04732661889662432,0.016666666666666666,1.6517799827594335,0.012752182860793628,0.0017857683207906877,7.1410063177441305,2.567906592516314e-34,0.016666666666666666,0.0,1
8,Relax,240.0,0.0004180763498084093,0.5,3.803894657344805,0.00017518510997567972,0.00024056565839298196,1.373208364719917,9.290777025278197e-07,0.03333333333333333,3.699588413418132,1.1042156120722826e-07,1.458970966441096e-07,6.36922189322377e-08,0.4365557670253281,0.0012922567304532672,0.625,2.748378091502458,0.01835133919724179,0.016666666666666666,1.1436920292012227,0.0029653217952338978,0.00042065612348162693,7.04927761586101,2.567906592516314e-34,0.016666666666666666,0.0,1
9,PhysicalStress,0.0,0.0012827128564869307,3.4375,3.583344556350399,0.0008207673725406819,0.0006845986377729961,0.8340958238310862,4.307868344246263e-06,0.016666666666666666,1.637419744370741,3.2834888652071607e-06,1.1426612765983189e-07,4.709872078391528e-08,0.412184448256856,0.0036899639854068,0.0625,2.7049247709941175,0.12450392135037205,0.016666666666666666,1.1463718997337051,0.009031897764091454,0.0024832527728730607,3.637123800990173,0.03239507884347918,0.016666666666666666,0.7640476917898508,1
