window_index,label,start_time,acc_total_power,acc_dominant_frequency,acc_spectral_entropy,acc_postural_power,acc_movement_power,acc_movement_ratio,eda_total_power,eda_dominant_frequency,eda_spectral_entropy,eda_tonic_power,eda_sympathetic_low_power,eda_sympathetic_high_power,eda_sympathetic_ratio,temp_total_power,temp_dominant_frequency,temp_spectral_entropy,hr_total_power,hr_dominant_frequency,hr_spectral_entropy,hr_lf_power,hr_hf_power,hr_lf_hf_ratio,spo2_total_power,spo2_dominant_frequency,spo2_spectral_entropy,subject_id,acc_mean,acc_std,acc_skewness,acc_slope,eda_mean,eda_std,eda_skewness,eda_slope,temp_mean,temp_std,temp_skewness,temp_slope,hr_mean,hr_std,hr_skewness,hr_slope,spo2_mean,spo2_std,spo2_skewness,spo2_slope
0,Relax,0.0,0.0012039909473253,0.5,2.8299282130056644,0.0008811858906073,0.0003599094246733,0.4084375709026611,3.115450667551242e-07,0.0166666666666666,3.3409808813645694,7.731341155857817e-08,2.376289350786896e-08,5.063195780709572e-08,2.1307151753354105,0.0072791886850246,0.0625,1.8420244110865167,0.0911243803005793,0.0166666666666666,1.384306902622635,0.020175719879284,0.0006979214446769,28.908296246182253,0.4298328461861041,0.0666666666666666,2.4585274504357133,1,0.04823003818203265,0.042611905980668545,1.8614649560822627,-0.0012342950015204726,-0.9125998633949326,0.0011676938684489842,-0.054061070274166546,5.085503982079019e-05,-3.3357600381565278,0.3550337643822977,-0.14410936660778986,0.020018830511797658,-0.22214604929501827,0.5125269054989429,-0.49367117216524836,-0.026377199849973332,0.7580370724116164,0.6416009422467754,-0.5611726210349297,-0.0029145385128674334
1,Relax,30.0,0.0066422979247816,0.5,2.4698862545221774,0.0062606145454572,0.0014727115446244,0.2352343422409076,2.6255952840540904e-06,0.0166666666666666,1.9003881787398904,1.826989629126241e-06,1.733269390914156e-07,9.99264731928455e-08,0.5765201515509517,0.0041342104368856,0.0625,2.011908838225618,0.0517047095416096,0.0166666666666666,1.6746797365516546,0.0254711668698611,0.0005683157133537,44.81869191958516,0.5453190474037812,0.0166666666666666,2.3410802549549263,1,0.9465576348798604,0.1791612254163136,0.23690343031105318,0.0077596618764605475,-0.9099011251247596,0.0024446764742161904,0.38573883605197173,0.0001289065348895102,-2.8112665898565106,0.28122569601600345,-0.25931050223139646,0.01571790263178492,-0.8629596220337047,0.49249697285253047,1.0022980824736851,-0.024302973690749505,0.7770396523170694,0.735721391935567,0.12409396687952211,-0.0040866898713032476
2,Relax,60.0,0.0421972649808806,0.5,1.2541497402835398,0.0456105694857852,0.0015467752412166,0.0339126491656427,1.089305365049888e-06,0.0166666666666666,3.279461224990261,3.18796238776516e-07,1.771980507153565e-07,2.1116957642011557e-08,0.119171500796772,0.0033645800317663,0.0625,1.878870201449225,0.0343572490225579,0.0166666666666666,1.27304484734073,0.0091392758779649,0.0005741111230941,15.919001584064272,0.6250425375855574,0.0166666666666666,1.400757625848832,1,0.3093987139740056,0.4389084074166657,2.863612459219623,-0.014534692801440284,-0.9071640591663309,0.0015098421033434772,-0.8032370315882976,5.446270441352571e-05,-2.39217882158455,0.22489265253013788,-0.26001692466562537,0.012199662106674442,-1.0880262711663256,0.2799921033031532,0.7843546068308078,0.0057451868441033135,0.28297257477529925,0.8902865856136076,0.48377263468939585,-0.030824412750217516
3,Relax,90.0,8.601560911204598e-05,1.9375,4.070636605230581,8.993917931981623e-06,7.701687212021102e-05,8.563217132140537,6.427974800696631e-07,0.0166666666666666,3.465762114666028,1.3884418305148652e-07,6.308164340732656e-08,5.1989842959042765e-08,0.8241675414722065,0.0025081915332622,0.0625,2.428713670555343,0.116724745359295,0.0166666666666666,1.1222698053795035,0.0122361990887229,0.0006419411897676,19.061246238384644,0.0639674093919232,0.0166666666666666,1.0493399738538929,1,0.028891727114209523,0.009842006944190544,1.2683958481001258,-0.0001170467285173441,-0.9059640721987061,0.0008221463784978098,-1.0249756563407826,2.7052900301430064e-05,-2.0547236244274085,0.1691708465279061,0.035731280041044935,0.009067102291595613,-1.0208232840013503,0.2765325324887601,0.8576836026380533,0.0009587862806752165,-0.11608160323920703,0.5041954207610699,-1.0552897060221726,0.013939097235452938
4,Relax,120.0,5.836151702386382e-05,0.75,4.060303615815503,4.93735620631414e-06,5.3524791418666514e-05,10.840779798349631,2.9412003413190682e-08,0.0166666666666666,3.7888391638043832,2.794465598779115e-09,3.768994991211847e-09,2.983402772722674e-09,0.7915645363496275,0.0021371080874742,0.0625,2.4698085522332685,0.0089195007120527,0.0333333333333333,1.6381103118638785,0.0028366745523201,0.0004699955975635,6.035534305055513,0.2540875015318317,0.0333333333333333,2.264590591849683,1,0.026719653075981988,0.007728484730832852,1.4907808493520684,-2.6314158202740532e-05,-0.9054010903703423,0.0003040390613904181,-3.205471303589327,6.7073405275515975e-06,-1.7781687539205406,0.14413054196300393,-0.1459468558012818,0.007742474828277558,-1.1020973921556452,0.20127185156706265,1.517887246371238,-0.006482855051872564,-0.07807644342830165,0.48223141719784857,-1.2609766499825612,-0.013178782840791867
5,Relax,150.0,5.76263694449741e-05,2.8125,4.084176248127928,7.189575822168239e-06,5.039014790588165e-05,7.008778981161775,9.548824607650327e-09,0.1833333333333333,4.1363144680338735,3.2254573288000843e-10,1.0747127557324044e-09,1.0713314655052447e-09,0.9968537730578478,0.0045131158284033,0.0625,2.574774565455765,0.0486277636508246,0.0166666666666666,0.8370652331021856,0.0046700997909672,0.0006300908423488,7.411788074173374,0.3603640273618345,0.0166666666666666,1.4234595214551666,1,0.027017601084992803,0.0074219715922577405,1.0241640718432106,4.386505032998839e-05,-0.9053227626662486,0.00011421744659757497,-6.472624288910208,4.530482354841162e-07,-1.5543491311492246,0.13803190613886046,0.7001805881096145,0.006772601449078714,-0.9739340956756919,0.2725334203113593,0.7086633406454076,0.011298059562231946,-0.2681022424828286,0.558559494777889,-0.40824829046386285,0.0020908645853179434
6,Relax,180.0,0.0049930034342143,0.5,2.732449764366473,0.0042938792314283,0.0010138547352579,0.2361162670429164,1.7142833792902125e-08,0.0166666666666666,3.368749352983744,5.542913750411899e-09,1.093434057553104e-09,1.992270407037325e-09,1.8220306869676663,0.0041168041458841,0.0625,2.491684971406605,0.0388873066793144,0.0166666666666666,1.090797156027241,0.0027653453150428,0.0004144247060882,6.672732765247044,0.050435667915012,0.0166666666666666,1.260532376756344,1,0.08335546580096696,0.07419515556462915,4.078323715840364,0.0017935546396457616,-0.9052099962982162,0.0004248126650147559,4.77670496807524,9.065823795000892e-06,-1.3766110620465064,0.13191279343637535,-0.5900656013641207,0.006256310612272377,-0.8598361008628953,0.2007632319705984,0.8371036618348693,-0.0010759787622997023,-0.059073863522848984,0.46971364075526134,-1.3754927699066501,0.019356337297413047
7,Relax,210.0,0.0028045780385177,1.25,2.9060994307623984,0.0022507045786545,0.0008163062506555,0.3626892033709471,8.029405311525674e-07,0.0166666666666666,3.775419393103648,7.164358516058345e-08,1.1135272024584437e-07,1.513881827386889e-07,1.3595373548527083,0.0023086189049338,0.0625,2.5501523003682096,0.0473266188966243,0.0166666666666666,1.6517799827594335,0.0127521828607936,0.0017857683207906,7.1410063177441305,2.5679065925163143e-34,0.0166666666666666,0.0,1,0.10043065803698221,0.06532491424947662,2.029122299000603,-0.0019243303664779248,-0.9046851821970822,0.0009092499611256293,1.1078354990823183,2.7547268504649916e-05,-1.1659075405951689,0.1406698501219625,0.02798893194160267,0.007364102261634377,-0.7738672545538722,0.20737094742663795,0.5335266131850676,0.008145388017768958,0.18795967524803595,2.7755575615628914e-17,0.0,-3.903762538609367e-18
8,Relax,240.0,0.0004180763498084,0.5,3.803894657344805,0.0001751851099756,0.0002405656583929,1.373208364719917,9.290777025278196e-07,0.0333333333333333,3.699588413418132,1.1042156120722827e-07,1.458970966441096e-07,6.36922189322377e-08,0.4365557670253281,0.0012922567304532,0.625,2.748378091502458,0.0183513391972417,0.0166666666666666,1.1436920292012227,0.0029653217952338,0.0004206561234816,7.04927761586101,2.5679065925163143e-34,0.0166666666666666,0.0,1,0.05463340611514241,0.01947013077974249,2.3244849793690943,0.00013097390761940085,-0.9039388725472974,0.0012230139339130719,0.8088456173772341,3.0116242868712504e-05,-1.0016432514315092,0.07563654826839593,0.7444520388993968,0.0031126008482206115,-0.751992422544421,0.18869985604805303,0.6275349159480922,-0.00869293950407008,0.18795967524803595,2.7755575615628914e-17,0.0,-3.903762538609367e-18
9,PhysicalStress,0.0,0.0012827128564869,3.4375,3.583344556350399,0.0008207673725406,0.0006845986377729,0.8340958238310862,4.307868344246263e-06,0.0166666666666666,1.637419744370741,3.2834888652071607e-06,1.1426612765983189e-07,4.709872078391528e-08,0.412184448256856,0.0036899639854068,0.0625,2.704924770994117,0.124503921350372,0.0166666666666666,1.1463718997337051,0.0090318977640914,0.002483252772873,3.637123800990173,0.0323950788434791,0.0166666666666666,0.7640476917898508,1,0.07407993431429964,0.08294062788963161,5.2814017290628605,-0.0007103078460766316,-0.8930051389875447,0.0028663133905685997,0.3008537721588202,0.00015458349194540858,-0.5805128519763744,0.1313635032482385,0.11546591857455123,0.006654302375086418,-0.2690366924512181,0.7733172203397892,1.8317665000752552,0.02856037458583517,-0.040071283617396286,0.45606191773086446,-1.4999999999999998,0.0031046171115326968
