window_index,label,start_time,acc_mean,acc_std,acc_skewness,acc_slope,eda_mean,eda_std,eda_skewness,eda_slope,temp_mean,temp_std,temp_skewness,temp_slope,hr_mean,hr_std,hr_skewness,hr_slope,spo2_mean,spo2_std,spo2_skewness,spo2_slope,subject_id
0,Relax,0.0,0.04823003818203265,0.042611905980668545,1.8614649560822627,-0.0012342950015204726,-0.9125998633949326,0.0011676938684489842,-0.054061070274166546,5.085503982079019e-05,-3.3357600381565278,0.3550337643822977,-0.14410936660778986,0.020018830511797658,-0.22214604929501827,0.5125269054989429,-0.49367117216524836,-0.026377199849973332,0.7580370724116164,0.6416009422467754,-0.5611726210349297,-0.0029145385128674334,1
1,Relax,30.0,0.9465576348798604,0.1791612254163136,0.23690343031105318,0.0077596618764605475,-0.9099011251247596,0.0024446764742161904,0.38573883605197173,0.0001289065348895102,-2.8112665898565106,0.28122569601600345,-0.25931050223139646,0.01571790263178492,-0.8629596220337047,0.49249697285253047,1.0022980824736851,-0.024302973690749505,0.7770396523170694,0.735721391935567,0.12409396687952211,-0.0040866898713032476,1
2,Relax,60.0,0.3093987139740056,0.4389084074166657,2.863612459219623,-0.014534692801440284,-0.9071640591663309,0.0015098421033434772,-0.8032370315882976,5.446270441352571e-05,-2.39217882158455,0.22489265253013788,-0.26001692466562537,0.012199662106674442,-1.0880262711663256,0.2799921033031532,0.7843546068308078,0.0057451868441033135,0.28297257477529925,0.8902865856136076,0.48377263468939585,-0.030824412750217516,1
3,Relax,90.0,0.028891727114209523,0.009842006944190544,1.2683958481001258,-0.0001170467285173441,-0.9059640721987061,0.0008221463784978098,-1.0249756563407826,2.7052900301430064e-05,-2.0547236244274085,0.1691708465279061,0.035731280041044935,0.009067102291595613,-1.0208232840013503,0.2765325324887601,0.8576836026380533,0.0009587862806752165,-0.11608160323920703,0.5041954207610699,-1.0552897060221726,0.013939097235452938,1
4,Relax,120.0,0.026719653075981988,0.007728484730832852,1.4907808493520684,-2.6314158202740532e-05,-0.9054010903703423,0.0003040390613904181,-3.205471303589327,6.7073405275515975e-06,-1.7781687539205406,0.14413054196300393,-0.1459468558012818,0.007742474828277558,-1.1020973921556452,0.20127185156706265,1.517887246371238,-0.006482855051872564,-0.07807644342830165,0.48223141719784857,-1.2609766499825612,-0.013178782840791867,1
5,Relax,150.0,0.027017601084992803,0.0074219715922577405,1.0241640718432106,4.386505032998839e-05,-0.9053227626662486,0.00011421744659757497,-6.472624288910208,4.530482354841162e-07,-1.5543491311492246,0.13803190613886046,0.7001805881096145,0.006772601449078714,-0.9739340956756919,0.2725334203113593,0.7086633406454076,0.011298059562231946,-0.2681022424828286,0.558559494777889,-0.40824829046386285,0.0020908645853179434,1
6,Relax,180.0,0.08335546580096696,0.07419515556462915,4.078323715840364,0.0017935546396457616,-0.9052099962982162,0.0004248126650147559,4.77670496807524,9.065823795000892e-06,-1.3766110620465064,0.13191279343637535,-0.5900656013641207,0.006256310612272377,-0.8598361008628953,0.2007632319705984,0.8371036618348693,-0.0010759787622997023,-0.059073863522848984,0.46971364075526134,-1.3754927699066501,0.019356337297413047,1
7,Relax,210.0,0.10043065803698221,0.06532491424947662,2.029122299000603,-0.0019243303664779248,-0.9046851821970822,0.0009092499611256293,1.1078354990823183,2.7547268504649916e-05,-1.1659075405951689,0.1406698501219625,0.02798893194160267,0.007364102261634377,-0.7738672545538722,0.20737094742663795,0.5335266131850676,0.008145388017768958,0.18795967524803595,2.7755575615628914e-17,0.0,-3.903762538609367e-18,1
8,Relax,240.0,0.05463340611514241,0.01947013077974249,2.3244849793690943,0.00013097390761940085,-0.9039388725472974,0.0012230139339130719,0.8088456173772341,3.0116242868712504e-05,-1.0016432514315092,0.07563654826839593,0.7444520388993968,0.0031126008482206115,-0.751992422544421,0.18869985604805303,0.6275349159480922,-0.00869293950407008,0.18795967524803595,2.7755575615628914e-17,0.0,-3.903762538609367e-18,1
9,PhysicalStress,0.0,0.07407993431429964,0.08294062788963161,5.2814017290628605,-0.0007103078460766316,-0.8930051389875447,0.0028663133905685997,0.3008537721588202,0.00015458349194540858,-0.5805128519763744,0.1313635032482385,0.11546591857455123,0.006654302375086418,-0.2690366924512181,0.7733172203397892,1.8317665000752552,0.02856037458583517,-0.040071283617396286,0.45606191773086446,-1.4999999999999998,0.0031046171115326968,1
